AppID,App Name,Business,Business Subdivision,App Regulatory & Contractual Requirements,Business Criticality,Customer Facing,Application Status / Lifecycle Stage,Availability Requirements,Degree of Obscure Protocols,RPO Requirements,No of Prod Environment,Volume of External Dependencies,Compute / Server Hardware Architecture,Application-Code Complexity / Volume,FLASH Storage Used,Virtualization State,Distributed Architecture Design or No,App LoadPredictability / Elasticity,Release Process (Automated / Manual),Latency Requirement,Ubiquitous Access Requirement,Application Hardware Dependency,Code Design,App Server Cloud Readiness,Financially Optimizable Hardware Usage,Memory (RAM) Requirement,Mainframe Dependency,Integration Middleware Cloud Readiness,Desktop Dependency,Data Classification,Database Cloud Readiness,Application Instability,CPU Requirement,Storage Decomposition,Application Architecture Knowledge Level,App Cloud Readiness (COTS only),App: COTS or Not,Impact due to Data Loss,Source Code Available (non-COTS only),Programming Language (non-COTS only),Component Coupling,Number of Internal Users,No of Non-Prod Environment,Estimated Annual App Growth,Deployment Geography (ChooseAll),Level of Internal Governance,Number of External Users
1,CRM App999,Finance,s,PM,1,ASP,Very High,Gold,349660,349660,US,High,-19950,-199600,Medium,High,Not Met,Confidential,Cloud Incompatible,High,No,COTS,Medium,No,NA,Medium,Medium,Predictable,Medium,Medium,Low,,Statefull,High,-3991,High,High,Low,Low,Medium,$25201,Application,Low,Low,High,Low,1
2,CRM App1000,Finance,,PM,2,ASP,Very High,Gold,350010,350010,US,High,-19970,-199800,Medium,High,Not Met,Confidential,Cloud Incompatible,High,No,COTS,Medium,No,NA,Medium,Medium,Predictable,Medium,Medium,Low,,Statefull,High,-3995,High,High,Low,Low,Medium,$25200,Application,High,High,Low,Low,2
3,CRM App1001,Marketing,,PM,3,ASP,Low,Silver,350360,350360,US,Medium,-19990,-200000,Medium,Medium,Met by Public Cloud,Confidential,Public Cloud Compatible,Low,No,COTS,High,No,NA,Medium,Medium,Spiky but predictable,High,Low,Medium,Low,Statefull,Medium,-3999,Low,Low,High,Low,Low,"$25,000 ",Application,Low,Low,High,Lom,3
4,CRM App1002,Finance,,Medium,5,ASP,Very High,Gold,350710,350710,US,High,-20010,-200200,Medium,High,Not Met,Confidential,Cloud Incompatible,High,No,COTS,Medium,No,NA,Medium,Medium,Predictable,Medium,Medium,Low,,Statefull,corner,-4003,High,High,Low,Low,Minor,$25201,Application,High,High,Low,Low,4
5,CRM App1003,Marketing,,Low,5,SAS,Low,Silver,351060,351060,US,Medium,-20030,-200400,Medium,Medium,Met by Public Cloud,Confidential,Public Cloud Compatible,Low,No,COTS,High,No,NA,Medium,Medium,Spiky but predictable,High,Low,Medium,Low,Statefull,Medium,-4007,Low,Low,High,Low,Low,"$25,200 ",Application,Low,Low,Medium,Low,5
6,CRM App1004,Finance,,High,5,ASP,Very High,Gold,351410,351410,US,High,-20050,-200600,Medium,High,Not Met,Confidential,Cloud Incompatible,High,No,COTS,Medium,No,NA,Medium,Medium,Predictable,Medium,Medium,Low,,Statefull,High,-4011,High,High,Low,Low,Medium,$25202,Application,High,High,Low,Lom,6
7,CRM App1005,Finance,,High,7,ASPE,Very High,Gold,351760,351760,US,High,-20070,-200800,Medium,High,Not Met,Confidential,Cloud Incompatible,High,No,COTS,Medium,No,NA,Medium,Medium,Predictable,Medium,Medium,Low,,Statefull,High,-4015,High,High,Low,Low,Medium,$25201,Application,Low,Low,High,Low,7
8,CRM App1006,Marketing,,Low,8,ASPE,Low,Silver,352110,352110,US,Medium,-20090,-201000,Medium,Medium,Met by Public Cloud,Confidential,Public Cloud Compatible,Low,No,COTS,High,No,NA,Medium,Medium,Spiky but predictable,High,Low,Medium,Low,Statefull,Medium,-4019,Low,Low,High,Low,Minor,"$25,000 ",Application,High,High,Low,Low,5
9,CRM App1007,Finance,,Medium,9,ASPE,Very High,Gold,352460,352460,US,High,-20110,-201200,Medium,High,Not Met,Confidential,Cloud Incompatible,High,No,COTS,Medium,No,NA,Medium,Medium,Predictable,Medium,Medium,Low,,Statefull,High,-4023,High,High,Low,Low,Medium,$25202,Application,Low,Low,High,Low,5
10,CRM App1008,Marketing,,Low,10,ASP,LowE,Silver,352810,352810,US,Medium,-20130,-201400,Medium,Medium,Met by Public Cloud,Confidential,Public Cloud Compatible,Low,No,COTS,High,No,NA,Medium,Medium,Spiky but predictable,High,Low,Medium,Low,Statefull,corner,-4027,Low,Low,High,Low,Low,"$25,201 ",Application,High,High,Low,Lom,10
11,CRM App1009,Finance,,High,11,ASP,LowE,Gold,353160,353160,US,High,-20150,-201600,Medium,High,Not Met,Confidential,Cloud Incompatible,High,No,COTS,Medium,No,NA,Medium,Medium,Predictable,Medium,Medium,Low,,Statefull,High,-4031,High,High,Low,Low,Medium,$25203,Application,Low,Low,High,Low,5
12,CRM App1010,Finance,,High,12,ASP,LowE,Gold,353510,353510,US,High,-20170,-201800,Medium,High,Not Met,Confidential,Cloud Incompatible,High,No,COTS,Medium,No,NA,Medium,Medium,Predictable,Medium,Medium,Low,,Statefull,High,-4035,High,High,Low,Low,Medium,$25202,Application,High,High,Medium,Low,12
13,CRM App1011,Marketing,,Low,13,SAS,Low,,353860,353860,US,Medium,-20190,-202000,Medium,Medium,Met by Public Cloud,Confidential,Public Cloud Compatible,Low,No,COTS,High,No,NA,Medium,Medium,Spiky but predictable,High,Low,Medium,Low,Statefull,Medium,-4039,Low,Low,High,Low,Low,"$25,000 ",Application,Low,Low,High,Low,13
14,CRM App1012,Finance,,Medium,14,ASP,Very High,Gold,354210,354210,US,High,-20210,-202200,Medium,High,Not Met,Confidential,Cloud Incompatible,High,No,COTS,Medium,No,NA,Medium,Medium,Predictable,Medium,Medium,Low,,Statefull,High,-4043,High,High,Low,Low,Medium,$25203,Application,High,High,Low,Low,14
15,CRM App1013,Marketing,,Low,15,ASP,Low,Silver,354560,354560,US,Medium,-20230,-202400,Medium,Medium,Met by Public Cloud,Confidential,Public Cloud Compatible,Low,No,COTS,High,No,NA,Medium,Medium,Spiky but predictable,High,Low,Medium,Low,Statefull,Medium,-4047,Low,Low,High,Low,Low,"$25,202 ",Application,Low,Low,High,Low,5
16,CRM App1014,Finance,,High,16,SAS,Very High,Gold,354910,354910,US,High,-20250,-202600,Medium,High,Not Met,Confidential,Cloud Incompatible,High,No,COTS,Medium,No,NA,Medium,Medium,Predictable,Medium,Medium,Low,,Statefull,High,-4051,High,High,Low,Low,Medium,$25204,Application,High,High,Low,Lom,5
17,CRM App1015,Finance,,High,17,ASP,Very High,Gold,355260,355260,US,High,-20270,-202800,Medium,High,Not Met,Confidential,Cloud Incompatible,High,No,COTS,Medium,No,NA,Medium,Medium,Predictable,Medium,Medium,Low,,Statefull,High,-4055,High,High,Low,Low,Medium,$25203,Application,Low,Low,High,Low,5
18,CRM App1016,Marketing,,Low,18,ASP,Low,Silver,355610,355610,US,Medium,-20290,-203000,Medium,Medium,Met by Public Cloud,Confidential,Public Cloud Compatible,Low,No,COTS,High,No,NA,Medium,Medium,Spiky but predictable,High,Low,Medium,Low,Statefull,corner,-4059,Low,Low,High,Low,Minor,"$25,000 ",Application,High,High,Low,Low,18
19,CRM App1017,Finance,,Medium,19,ASP,Very High,Gold,355960,355960,US,High,-20310,-203200,Medium,High,Not Met,Confidential,Cloud Incompatible,High,No,COTS,Medium,No,NA,Medium,Medium,Predictable,Medium,Medium,Low,,Statefull,High,-4063,High,High,Low,Low,Medium,$25204,Application,Low,Low,High,Low,19
20,CRM App1018,Marketing,,Low,20,ASP,Low,Silver,356310,356310,US,Medium,-20330,-203400,Medium,Medium,Met by Public Cloud,Confidential,Public Cloud Compatible,Low,No,COTS,High,No,NA,Medium,Medium,Spiky but predictable,High,Low,Medium,Low,Statefull,Medium,-4067,Low,Low,High,Low,Low,"$25,203 ",Application,High,High,Low,Low,20
21,CRM App1019,Finance,,High,21,SAS,Very High,Gold,356660,356660,US,High,-20350,-203600,Medium,High,Not Met,Confidential,Cloud Incompatible,High,No,COTS,Medium,No,NA,Medium,Medium,Predictable,Medium,Medium,Low,,Statefull,High,-4071,High,High,Low,Low,Medium,$25205,Application,Low,Low,High,Low,21
22,CRM App1020,Finance,,High,22,ASP,Very High,Gold,357010,357010,US,High,-20370,-203800,Medium,High,Not Met,Confidential,Cloud Incompatible,High,No,COTS,Medium,No,NA,Medium,Medium,Predictable,Medium,Medium,Low,,Statefull,High,-4075,High,High,Low,Low,Medium,$25204,Application,High,High,Medium,Lom,22
23,CRM App1021,Marketing,,Low,23,ASP,Low,Silver,357360,357360,US,Medium,-20390,-204000,Medium,Medium,Met by Public Cloud,Confidential,Public Cloud Compatible,Low,No,COTS,High,No,NA,Medium,Medium,Spiky but predictable,High,Low,Medium,Low,Statefull,Medium,-4079,Low,Low,High,Low,Low,"$25,000 ",Application,Low,Low,High,Low,23
